PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,zn,z,n
7.431866,-1.3484515,-1.6017512,3.6558888,0.3760256,-0.55087334,0.6073255,0.052394953,0.48213434,-1.0207531,9-9,9,9
7.3927565,-1.2343743,1.3980414,3.5311527,0.91708076,-0.7579493,0.6262278,0.014551514,0.6397586,-0.94433945,9-10,9,10
7.192547,-1.3407212,-0.90859824,3.5049443,-0.19265132,-0.16276857,0.49681175,-0.067070216,0.48122704,-1.3710437,9-11,9,11
7.1873713,-1.2527037,1.7913254,3.2237601,0.04794514,-0.22236787,0.41834286,0.01978746,0.48896167,-1.4600208,9-12,9,12
6.9847174,-1.3573076,-0.6392719,3.1958673,-0.7562869,0.22023512,0.66835016,0.056541514,0.19516176,-1.136613,9-13,9,13
6.9885983,-1.2727402,1.9539324,2.8609555,-0.25645253,0.11640445,0.9996002,0.2134975,0.27467242,-0.7357737,9-14,9,14
6.758405,-1.358432,-0.44121873,2.9893816,-0.6687823,0.2823593,1.1427759,0.2982487,0.21806161,-0.5250972,9-15,9,15
6.745408,-1.3103758,1.1231709,2.7258286,0.41179615,-0.24864224,1.0233105,0.024585566,0.3197271,-0.61687887,9-16,9,16
6.5557294,-1.4011637,-1.1182095,2.8106196,0.5627501,-0.39980298,0.7938151,0.080054715,0.3868868,-0.85874736,9-17,9,17
6.5759354,-1.3226932,0.8516862,2.666035,1.2866753,-0.8128963,0.5426997,-0.025165932,0.34594777,-1.0155544,9-18,9,18
6.395769,-1.4003311,-1.0773269,2.8438191,0.67030895,-0.48341367,0.63803285,-0.13574174,0.4125536,-1.0372802,9-19,9,19
6.4106426,-1.3266876,1.1681631,2.5484886,0.9049615,-0.51383775,0.61805904,-0.09704124,0.47647706,-1.076579,9-20,9,20
6.2289295,-1.4174155,-1.2879012,2.6952267,0.46771768,-0.40927523,0.817036,-0.025353473,0.32292035,-0.7548105,9-21,9,21
6.276611,-1.3302243,1.0188049,2.557904,0.7900435,-0.39579,0.85002077,-0.15984604,0.3311765,-0.7865071,9-22,9,22
7.267935,1.6056864,-1.6931775,3.5586567,0.50126195,-0.12852603,-0.06347708,0.07482702,0.17712937,-0.33703732,10-9,10,9
7.228837,1.7197708,1.3066137,3.4339283,1.0422933,-0.3356186,-0.044588696,0.036981825,0.33475733,-0.2606325,10-10,10,10
7.028626,1.6134233,-1.0000259,3.4077184,-0.06744292,0.2595682,-0.17400724,-0.044637337,0.17622608,-0.6873312,10-11,10,11
7.02345,1.7014413,1.6998996,3.1265428,0.1731568,0.19995935,-0.25248048,0.0422276,0.18395796,-0.7763074,10-12,10,12
6.8207974,1.5968373,-0.73070264,3.098642,-0.6310717,0.64257103,-0.0024719085,0.0789761,-0.1098449,-0.4528975,10-13,10,13
6.8246775,1.6814048,1.8625032,2.7637315,-0.13124007,0.53874236,0.3287773,0.23593007,-0.030333752,-0.052052233,10-14,10,14
